List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,23.3%
open_with,4.4%
text_empty,3.3%
share_with,94.2%
list+on_off,31.4%
advertisement+button,2.5%
image_list,64.4%
popup_date,16.7%
movie,3.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,0.0%
dialer,13.3%
translate,92.0%
image_view,10.0%
location_selection,16.7%
continue_as_name,75.0%
popup_with_full_screen,14.3%
pinpoint_location,3.3%
popup_with_continue_as_name,0.0%
list,15.0%
camera,0.0%
picture,40.0%
popup,6.7%
navigation_menu,20.0%
input_form,13.3%
select_dialog,10.0%
calendar,0.0%
text_image,3.3%
continue_button,4.8%
theme,0.0%
homescreen,20.0%
Total,18.5%
