List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,16.7%
open_with,15.6%
text_empty,13.3%
share_with,80.8%
list+on_off,91.4%
advertisement+button,85.0%
image_list,26.7%
popup_date,0.0%
movie,40.0%
menu_list,0.0%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,0.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,14.3%
pinpoint_location,3.3%
popup_with_continue_as_name,80.0%
list,17.5%
camera,20.0%
picture,0.0%
popup,3.3%
navigation_menu,20.0%
input_form,43.3%
select_dialog,0.0%
calendar,36.7%
text_image,10.0%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,23.9%
