List,dec
text+button,5.6%
popup_with_access,36.7%
text_only,6.7%
open_with,35.6%
text_empty,23.3%
share_with,71.2%
list+on_off,91.4%
advertisement+button,57.5%
image_list,66.7%
popup_date,0.0%
movie,6.7%
menu_list,62.9%
translate_with_sound,100.0%
IME,0.0%
dialer,0.0%
translate,0.0%
image_view,5.0%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,71.4%
list,30.0%
camera,12.5%
picture,33.3%
popup,10.0%
navigation_menu,11.1%
input_form,40.0%
select_dialog,60.0%
calendar,0.0%
text_image,6.7%
continue_button,7.1%
theme,0.0%
homescreen,20.0%
Total,30.2%
