List,dec
text+button,11.1%
popup_with_access,80.0%
text_only,63.3%
open_with,51.1%
text_empty,3.3%
share_with,76.9%
list+on_off,0.0%
advertisement+button,17.5%
image_list,40.0%
popup_date,66.7%
movie,63.3%
menu_list,40.0%
translate_with_sound,88.2%
IME,10.0%
dialer,6.7%
translate,80.0%
image_view,20.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,80.0%
list,2.5%
camera,57.5%
picture,0.0%
popup,3.3%
navigation_menu,6.7%
input_form,0.0%
select_dialog,53.3%
calendar,13.3%
text_image,13.3%
continue_button,2.4%
theme,18.2%
homescreen,0.0%
Total,34.9%
