List,dec
text+button,5.6%
popup_with_access,83.3%
text_only,6.7%
open_with,80.0%
text_empty,20.0%
share_with,80.8%
list+on_off,94.3%
advertisement+button,75.0%
image_list,6.7%
popup_date,33.3%
movie,33.3%
menu_list,37.1%
translate_with_sound,0.0%
IME,10.0%
dialer,0.0%
translate,92.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,25.0%
popup_with_full_screen,11.4%
pinpoint_location,6.7%
popup_with_continue_as_name,77.1%
list,2.5%
camera,92.5%
picture,0.0%
popup,3.3%
navigation_menu,15.6%
input_form,3.3%
select_dialog,36.7%
calendar,80.0%
text_image,3.3%
continue_button,11.9%
theme,18.2%
homescreen,0.0%
Total,35.6%
