List,dec
text+button,5.6%
popup_with_access,76.7%
text_only,0.0%
open_with,57.8%
text_empty,26.7%
share_with,1.9%
list+on_off,94.3%
advertisement+button,85.0%
image_list,66.7%
popup_date,33.3%
movie,56.7%
menu_list,2.9%
translate_with_sound,94.1%
IME,10.0%
dialer,6.7%
translate,0.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,8.6%
pinpoint_location,3.3%
popup_with_continue_as_name,2.9%
list,25.0%
camera,2.5%
picture,6.7%
popup,16.7%
navigation_menu,8.9%
input_form,6.7%
select_dialog,6.7%
calendar,50.0%
text_image,3.3%
continue_button,19.0%
theme,0.0%
homescreen,0.0%
Total,25.0%
