List,dec
text+button,16.7%
popup_with_access,80.0%
text_only,23.3%
open_with,0.0%
text_empty,10.0%
share_with,94.2%
list+on_off,71.4%
advertisement+button,72.5%
image_list,66.7%
popup_date,0.0%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,7.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,77.1%
list,2.5%
camera,0.0%
picture,0.0%
popup,10.0%
navigation_menu,11.1%
input_form,0.0%
select_dialog,53.3%
calendar,0.0%
text_image,6.7%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,33.2%
