List,dec
text+button,16.7%
popup_with_access,3.3%
text_only,10.0%
open_with,2.2%
text_empty,6.7%
share_with,94.2%
list+on_off,28.6%
advertisement+button,60.0%
image_list,66.7%
popup_date,0.0%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,20.0%
dialer,6.7%
translate,52.0%
image_view,12.5%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,14.3%
pinpoint_location,76.7%
popup_with_continue_as_name,77.1%
list,60.0%
camera,2.5%
picture,0.0%
popup,6.7%
navigation_menu,11.1%
input_form,3.3%
select_dialog,6.7%
calendar,90.0%
text_image,10.0%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,31.3%
