List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,40.0%
open_with,53.3%
text_empty,3.3%
share_with,76.9%
list+on_off,71.4%
advertisement+button,15.0%
image_list,64.4%
popup_date,0.0%
movie,63.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,10.0%
dialer,0.0%
translate,92.0%
image_view,20.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,73.3%
popup_with_continue_as_name,80.0%
list,2.5%
camera,57.5%
picture,0.0%
popup,3.3%
navigation_menu,31.1%
input_form,3.3%
select_dialog,60.0%
calendar,20.0%
text_image,3.3%
continue_button,2.4%
theme,18.2%
homescreen,0.0%
Total,35.9%
