List,dec
text+button,5.6%
popup_with_access,0.0%
text_only,3.3%
open_with,2.2%
text_empty,6.7%
share_with,94.2%
list+on_off,0.0%
advertisement+button,92.5%
image_list,22.2%
popup_date,50.0%
movie,20.0%
menu_list,42.9%
translate_with_sound,0.0%
IME,10.0%
dialer,20.0%
translate,92.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,0.0%
list,7.5%
camera,35.0%
picture,0.0%
popup,10.0%
navigation_menu,31.1%
input_form,36.7%
select_dialog,30.0%
calendar,86.7%
text_image,10.0%
continue_button,2.4%
theme,77.3%
homescreen,20.0%
Total,26.3%
