List,dec
text+button,11.1%
popup_with_access,83.3%
text_only,6.7%
open_with,80.0%
text_empty,6.7%
share_with,80.8%
list+on_off,94.3%
advertisement+button,2.5%
image_list,55.6%
popup_date,16.7%
movie,20.0%
menu_list,37.1%
translate_with_sound,0.0%
IME,10.0%
dialer,0.0%
translate,0.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,77.1%
list,62.5%
camera,92.5%
picture,0.0%
popup,16.7%
navigation_menu,6.7%
input_form,36.7%
select_dialog,36.7%
calendar,80.0%
text_image,3.3%
continue_button,11.9%
theme,0.0%
homescreen,0.0%
Total,34.8%
