List,dec
text+button,22.2%
popup_with_access,80.0%
text_only,43.3%
open_with,37.8%
text_empty,20.0%
share_with,76.9%
list+on_off,94.3%
advertisement+button,55.0%
image_list,0.0%
popup_date,16.7%
movie,0.0%
menu_list,28.6%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,30.0%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,2.9%
list,2.5%
camera,10.0%
picture,53.3%
popup,50.0%
navigation_menu,8.9%
input_form,0.0%
select_dialog,26.7%
calendar,56.7%
text_image,3.3%
continue_button,4.8%
theme,77.3%
homescreen,20.0%
Total,31.1%
