List,dec
text+button,22.2%
popup_with_access,80.0%
text_only,43.3%
open_with,24.4%
text_empty,13.3%
share_with,17.3%
list+on_off,94.3%
advertisement+button,57.5%
image_list,2.2%
popup_date,0.0%
movie,6.7%
menu_list,40.0%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,30.0%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,25.7%
pinpoint_location,76.7%
popup_with_continue_as_name,2.9%
list,2.5%
camera,47.5%
picture,53.3%
popup,50.0%
navigation_menu,20.0%
input_form,3.3%
select_dialog,16.7%
calendar,56.7%
text_image,3.3%
continue_button,2.4%
theme,77.3%
homescreen,0.0%
Total,30.2%
