List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,6.7%
open_with,55.6%
text_empty,13.3%
share_with,94.2%
list+on_off,91.4%
advertisement+button,27.5%
image_list,66.7%
popup_date,0.0%
movie,30.0%
menu_list,0.0%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,60.0%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,71.4%
list,0.0%
camera,12.5%
picture,20.0%
popup,3.3%
navigation_menu,11.1%
input_form,3.3%
select_dialog,60.0%
calendar,0.0%
text_image,6.7%
continue_button,7.1%
theme,0.0%
homescreen,0.0%
Total,30.2%
