List,dec
text+button,0.0%
popup_with_access,0.0%
text_only,16.7%
open_with,22.2%
text_empty,33.3%
share_with,94.2%
list+on_off,88.6%
advertisement+button,27.5%
image_list,24.4%
popup_date,0.0%
movie,40.0%
menu_list,68.6%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,0.0%
image_view,2.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,77.1%
list,10.0%
camera,12.5%
picture,53.3%
popup,3.3%
navigation_menu,2.2%
input_form,6.7%
select_dialog,86.7%
calendar,60.0%
text_image,16.7%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,29.5%
