List,dec
c12,6.7%
c13,45.7%
c18,13.3%
c21,23.7%
c6,97.1%
c3,13.3%
c1,76.7%
c23,36.8%
c5,22.5%
c17,36.7%
c11,26.7%
c2,60.0%
c7,100.0%
c16,40.0%
c15,56.7%
c10,20.0%
c20,5.3%
c14,17.8%
c9,0.0%
c19,100.0%
c22,70.3%
c8,0.0%
c4,0.0%
Total,39.0%
